DATE, RND, LOCATION, PREDICTION, RESULT, CoW - %, URL
2020-10-02, 1, ENDLESS VALE - NESSUS, 0, 0, 44, https://destinytracker.com/destiny-2/pgcr/6974399866
2020-10-02, 2, ENDLESS VALE - NESSUS, 0, 0, 20, https://destinytracker.com/destiny-2/pgcr/6974415726
2020-10-02, 3, DISTANT SHORE - NESSUS, 1, 1, 97, https://destinytracker.com/destiny-2/pgcr/6974436359
2020-10-02, 4, MIDTOWN - EARTH, 1, 1, 95, https://destinytracker.com/destiny-2/pgcr/6974453372
2020-10-02, 5, EXODUS BLUE - EARTH, 1, 0, 73, https://destinytracker.com/destiny-2/pgcr/6974470496
2020-10-02, 6, DISTANAT SHORE - NESSUS, 0, 0, 19, https://destinytracker.com/destiny-2/pgcr/6974832503
2020-10-02, 7, ENDLESS VALE - NESSUS, 0, 0, 49, https://destinytracker.com/destiny-2/pgcr/6974860580
2020-10-02, 8, RUSTED LANDS - EARTH, 0, 1, 36, https://destinytracker.com/destiny-2/pgcr/6974891403
2020-10-02, 9, EXODUS BLUE - EARTH, 0, 1, 37, https://destinytracker.com/destiny-2/pgcr/6974908967
2020-10-02, 10, CONVERGENCE - MERCURY, 1, 1, 76, https://destinytracker.com/destiny-2/pgcr/6974930840
NOTES:,  RNDS: 10, MOST VISITED LOCATION: NESSUS, PREDICTED WINS: 4, WINS: 5, TIMES PREDICDTION MODEL BEATEN: 2, iMorphTV's Destiny Tracker Profile: http://bit.ly/DestinyTracker
2020-10-03, 1, BANNERFALL - EARTH, ,1
2020-10-03, 2, WIDOW'S COURT - EARTH, ,0
2020-10-03, 3, RADIANT CLIFFS - MERCURY, ,0
2020-10-04, 4, CITIDAL - DREAMING CITY, ,1
2020-10-04. 5, WORMHAVEN - TITAN, ,1
2020-10-04, 6, MIDTOWN - EARTH, ,1
2020-10-04, 7, FRAGMENT - UNKNOWN, ,0
2020-10-04, 8, The ANOMALY - MOON, ,0
2020-10-04, 9, TWILIGHT GAP - EARTH, ,0
2020-10-04, 10, VOSTOK -EARTH, ,1
2020-10-05, 1, Twilight GAP - EARTH, ,0
2020-10-05, 2, TWILIGHT GAP - EARTH, ,1
2020-10-05, 3, EXODUS BLUE - EARTH, ,1
2020-10-05, 4, WIDOW'S COURT - EARTH, ,0
2020-10-05, 5, TWILIGHT GAP - EARTH, ,1
2020-10-05, 6, DISTANT SHORE - NESSUS, ,1
2020-10-05, 7, NNNN, ,1
2020-10-05, 8, NNNN, 0, 0
2020-10-05, 9, WIDOW'S COURT, ,1
2020-10-05, 10, NNNN, ,0
2020-10-05, 1, nnn, ,0
2020-10-06, 2, WIDOW'S COURT - EARTH. ,1
2020-10-06, 3, TWILIGHT GAP - EARTH, ,0
2020-10-06, 4, CONVERGENCE, ,0
2020-10-06, 5, WIDOW'S COURT - EARTH, ,0
2020-10-06, 6, 
